feature,consensus_count,variance,correlation,univariate,backward,model_based,lasso
ratio_sinpkt_dinpkt,1,True,False,False,False,False,False
both_zero_spkts_dpkts,1,False,True,False,False,False,False
both_zero_ct_src_ltm_ct_dst_ltm,1,False,True,False,False,False,False
ratio_swin_dwin,1,True,False,False,False,False,False
both_zero_smean_dmean,1,False,True,False,False,False,False
both_zero_sbytes_dbytes,1,False,True,False,False,False,False
one_zero_ct_src_dport_ltm_ct_dst_sport_ltm,1,False,True,False,False,False,False
dwin,1,True,False,False,False,False,False
both_zero_ct_srv_src_ct_srv_dst,1,False,True,False,False,False,False
one_zero_ct_srv_src_ct_srv_dst,1,False,True,False,False,False,False
both_zero_ct_src_dport_ltm_ct_dst_sport_ltm,1,False,True,False,False,False,False
both_zero_stcpb_dtcpb,1,True,False,False,False,False,False
